"time","ax","ay","az","a_mag"
1.146262550E-1,1.657029688E-1,5.160121918E0,8.262416840E0,9.742784392E0
1.171653170E-1,1.561316848E-1,5.164907455E0,8.233702660E0,9.720828443E0
1.197044320E-1,1.944168359E-1,5.169693470E0,8.243273735E0,9.732167814E0
1.222434950E-1,2.279163599E-1,5.073980331E0,8.238488197E0,9.678321655E0
1.247826090E-1,2.183450609E-1,5.030909538E0,8.228917122E0,9.647424648E0
1.273217240E-1,2.279163599E-1,5.059623718E0,8.267202377E0,9.695275818E0
1.298607860E-1,2.422732860E-1,5.021338463E0,8.190631866E0,9.610358301E0
1.323999010E-1,2.709871531E-1,5.035695076E0,8.161917686E0,9.594194039E0
1.349389630E-1,2.327020019E-1,5.030909538E0,8.128418922E0,9.562185691E0
1.374780260E-1,2.757728100E-1,5.045266628E0,8.104490280E0,9.550577401E0
1.400171400E-1,2.997010350E-1,5.097908497E0,8.118846893E0,9.591358956E0
1.425562030E-1,2.757728100E-1,5.117051125E0,8.128418922E0,9.608925904E0
1.450953700E-1,1.848455518E-1,5.145765305E0,8.161917686E0,9.650386975E0
1.476344840E-1,1.322034448E-1,5.102694511E0,8.157132149E0,9.622565870E0
1.501735470E-1,1.226321608E-1,5.107480049E0,8.157132149E0,9.624977714E0
1.527126610E-1,8.434699476E-2,5.059623718E0,8.204988480E0,9.639955526E0
1.552517240E-1,-1.615155302E-2,5.050052166E0,8.190631866E0,9.622356163E0
1.577908380E-1,-4.007977992E-2,5.030909538E0,8.200202942E0,9.620550164E0
1.603299010E-1,-2.572284266E-2,4.997410297E0,8.214560509E0,9.615288643E0
1.628690150E-1,-1.136590727E-2,4.959125042E0,8.147561073E0,9.538123600E0
1.654140150E-1,-2.572284266E-2,4.930410862E0,8.142775536E0,9.519159961E0
1.679590150E-1,-1.794616925E-3,4.925625324E0,8.133204460E0,9.508459541E0
1.705040150E-1,6.999006122E-2,4.906482697E0,8.099704742E0,9.470147199E0
1.730490150E-1,1.178465188E-1,4.925625324E0,8.056633949E0,9.443782252E0
1.755940150E-1,1.848455518E-1,4.939982414E0,8.056633949E0,9.452351280E0
1.781390150E-1,2.518445849E-1,4.906482697E0,8.013563156E0,9.399691091E0
1.806840150E-1,2.949153781E-1,4.949553490E0,7.994420528E0,9.407221397E0
1.832290150E-1,3.714857101E-1,4.949553490E0,7.994420528E0,9.409933101E0
1.857740150E-1,4.193421602E-1,4.925625324E0,7.970492363E0,9.379039460E0
1.883190150E-1,4.576273263E-1,4.892126083E0,7.956135273E0,9.351064585E0
1.908640150E-1,4.959124923E-1,4.906482697E0,7.984848976E0,9.384951509E0
1.934090150E-1,5.347958803E-1,4.872983456E0,8.037490845E0,9.414522477E0
1.959540150E-1,5.491527915E-1,4.892126083E0,8.094919205E0,9.474290651E0
1.984990150E-1,5.395814776E-1,4.896911621E0,8.147561073E0,9.521220670E0
2.010440150E-1,5.826523304E-1,4.825126648E0,8.176275253E0,9.511719504E0
2.035890150E-1,6.113662124E-1,4.805984497E0,8.228917122E0,9.549153503E0
2.061340150E-1,6.257231236E-1,4.786841869E0,8.329415321E0,9.627281242E0
2.086790150E-1,6.400800347E-1,4.748556614E0,8.372486115E0,9.646606455E0
2.112240150E-1,6.687939167E-1,4.710271358E0,8.439485550E0,9.688078134E0
2.137690150E-1,7.070791125E-1,4.676771641E0,8.573483467E0,9.791668531E0
2.163140150E-1,7.788637877E-1,4.643272400E0,8.659625053E0,9.856759784E0
2.188590150E-1,7.980063558E-1,4.643272400E0,8.774480820E0,9.959332627E0
2.214040150E-1,8.027920127E-1,4.676771641E0,8.784051895E0,9.983798660E0
2.239490150E-1,7.836494446E-1,4.609772682E0,8.928219795E0,1.007855244E1
2.264940150E-1,7.884350419E-1,4.609772682E0,9.009575844E0,1.015106353E1
2.290390150E-1,8.027920127E-1,4.657629490E0,9.181859016E0,1.032688348E1
2.315840150E-1,8.123632669E-1,4.643272400E0,9.258428574E0,1.038934128E1
2.341290150E-1,8.985049129E-1,4.595416069E0,9.349356651E0,1.045636790E1
2.366740150E-1,9.320043921E-1,4.633700848E0,9.406784058E0,1.052745943E1
2.392190150E-1,9.942178130E-1,4.595416069E0,9.478569031E0,1.058062327E1
2.417640150E-1,1.089930773E0,4.628915310E0,9.464211464E0,1.059179421E1
2.443090150E-1,1.185643673E0,4.643272400E0,9.464211464E0,1.060834710E1
2.468572970E-1,1.243071318E0,4.566701889E0,9.464211464E0,1.058164879E1
2.493973490E-1,1.295713425E0,4.466203690E0,9.478569031E0,1.055789371E1
2.519374530E-1,1.362712502E0,4.447061062E0,9.473783493E0,1.055395239E1
2.544775050E-1,1.386640668E0,4.412963390E0,9.435498238E0,1.050836073E1
2.570176090E-1,1.415354609E0,4.326821327E0,9.478569031E0,1.051512636E1
2.595577130E-1,1.439282775E0,4.298107624E0,9.445069313E0,1.047638289E1
2.620977650E-1,1.467996716E0,4.245465755E0,9.344570160E0,1.036821997E1
2.646378700E-1,1.520638824E0,4.245465755E0,9.291928291E0,1.032841969E1
2.671700050E-1,1.511067510E0,4.221537113E0,9.229715347E0,1.026120587E1
2.697099010E-1,1.506281853E0,4.188037872E0,9.081359863E0,1.011333986E1
2.722497970E-1,1.549352646E0,4.154538155E0,8.861220360E0,9.908678376E0
2.747896920E-1,1.578664780E0,4.192823410E0,8.611768723E0,9.707446171E0
2.773295880E-1,1.621735573E0,4.202394962E0,8.506484032E0,9.625508832E0
2.798694320E-1,1.607378602E0,4.154538155E0,8.520841599E0,9.615019230E0
2.824093280E-1,1.501496196E0,4.116253376E0,8.587840080E0,9.641007724E0
2.849492240E-1,1.453639746E0,4.188037872E0,8.664410591E0,9.732663593E0
2.874827650E-1,1.386640668E0,4.192823410E0,8.702695847E0,9.759070421E0
2.900225570E-1,1.314856052E0,4.302893162E0,8.669196129E0,9.767225682E0
2.925622450E-1,1.276570916E0,4.423132420E0,8.597412109E0,9.752396048E0
2.951019840E-1,1.276570916E0,4.547559261E0,8.453842163E0,9.683871946E0
2.976416720E-1,1.228714466E0,4.628915310E0,8.338987350E0,9.616408176E0
3.001814630E-1,1.214357495E0,4.743771076E0,8.224131584E0,9.571539503E0
3.027211510E-1,1.195214868E0,4.782055855E0,8.023134232E0,9.416330478E0
3.052608900E-1,1.128215909E0,4.863411903E0,7.836493969E0,9.291732035E0
3.077955260E-1,1.190429211E0,4.906482697E0,7.735397339E0,9.237265079E0
3.103351610E-1,1.219143152E0,4.906482697E0,7.572685242E0,9.105242679E0
3.128747450E-1,1.324427366E0,4.892126083E0,7.486543655E0,9.040759999E0
