"event","experiment time","system time","system time text"
"START",0.000000000E0,1771694112.137,"2026-02-21 22:45:12.137 UTC+05:30"
"PAUSE",2.486100041E1,1771694136.998,"2026-02-21 22:45:36.998 UTC+05:30"
