"event","experiment time","system time","system time text"
"START",0.000000000E0,1771922914.913,"2026-02-24 14:18:34.913 UTC+05:30"
"PAUSE",6.898606477E1,1771922983.899,"2026-02-24 14:19:43.899 UTC+05:30"
