"time","ax","ay","az","a_mag"
4.273552110E-1,3.848257065E0,8.123632669E-1,8.252845764E0,9.142126652E0
4.299002110E-1,3.795614958E0,8.075776696E-1,8.238488197E0,9.106676802E0
4.324452110E-1,3.766901016E0,7.884350419E-1,8.248059273E0,9.101739111E0
4.349902110E-1,3.719044685E0,7.645068169E-1,8.233702660E0,9.066952274E0
4.375352110E-1,3.661616802E0,7.357929349E-1,8.171489716E0,8.984546345E0
4.400802110E-1,3.613162279E0,7.645068169E-1,8.147561073E0,8.945510817E0
4.426252110E-1,3.622733593E0,7.262216806E-1,8.137989998E0,8.937476032E0
4.451702110E-1,3.584448338E0,6.544370055E-1,8.047062874E0,8.833559791E0
4.477152110E-1,3.555734396E0,6.257231236E-1,8.018348694E0,8.793673425E0
4.502602110E-1,3.546163082E0,6.065805554E-1,7.960920811E0,8.736101690E0
4.528052110E-1,3.512663603E0,5.539384484E-1,7.917850018E0,8.679746672E0
4.553502110E-1,3.483949661E0,4.965106845E-1,7.860422611E0,8.612239647E0
4.578952110E-1,3.426522017E0,4.965106845E-1,7.778468132E0,8.514231760E0
4.604402110E-1,3.412165165E0,4.438686073E-1,7.716254711E0,8.448696776E0
4.629852110E-1,3.373879910E0,4.582255483E-1,7.673183918E0,8.394688067E0
4.655302110E-1,3.349951744E0,4.295116663E-1,7.548757076E0,8.269848267E0
4.680752110E-1,3.364308596E0,4.151547253E-1,7.419544697E0,8.157240298E0
4.706202110E-1,3.412165165E0,4.103690982E-1,7.347760201E0,8.111772548E0
4.731652110E-1,3.426522017E0,4.438686073E-1,7.271189690E0,8.050358500E0
4.757102110E-1,3.455235958E0,4.390829504E-1,7.137191772E0,7.941722468E0
4.782552110E-1,3.550948858E0,4.773681164E-1,6.969694138E0,7.836692828E0
4.808002110E-1,3.608376503E0,4.821537733E-1,6.840481758E0,7.748873720E0
4.833452110E-1,3.627519131E0,5.060819983E-1,6.806982040E0,7.729813616E0
4.858902110E-1,3.656831264E0,5.060819983E-1,6.710670948E0,7.659088618E0
4.884352110E-1,3.714258909E0,5.347958803E-1,6.571887493E0,7.567789050E0
4.909802110E-1,3.762115479E0,5.826523304E-1,6.509674072E0,7.541144021E0
4.935252110E-1,3.728615999E0,5.730810165E-1,6.528816700E0,7.540321387E0
4.960702110E-1,3.699902058E0,5.539384484E-1,6.423532486E0,7.433565271E0
4.986152110E-1,3.675973892E0,5.635097623E-1,6.380461693E0,7.385162065E0
5.011602110E-1,3.675973892E0,5.682953596E-1,6.437889099E0,7.435197356E0
5.037052110E-1,3.617947817E0,5.539384484E-1,6.447460651E0,7.413915501E0
5.062502110E-1,3.546163082E0,5.970092416E-1,6.428318024E0,7.365796987E0
5.087952110E-1,3.493520975E0,5.443671346E-1,6.514459610E0,7.412098784E0
5.113402110E-1,3.455235958E0,4.869394004E-1,6.538387775E0,7.411226633E0
5.138852110E-1,3.397808075E0,4.821537733E-1,6.552744865E0,7.397028947E0
5.164302110E-1,3.349951744E0,4.725824594E-1,6.605386734E0,7.421364078E0
5.189002110E-1,3.311666489E0,4.199403822E-1,6.662814617E0,7.452287131E0
5.213702110E-1,3.287738323E0,4.486542344E-1,6.768697262E0,7.538287374E0
5.238421900E-1,3.297309637E0,3.720839322E-1,6.754340172E0,7.525410849E0
5.263715130E-1,3.215953588E0,2.811566591E-1,6.797410965E0,7.525038364E0
5.289008880E-1,3.220739365E0,2.667997181E-1,6.931408882E0,7.647795319E0
5.314302630E-1,3.244667530E0,2.470589429E-1,6.969694138E0,7.691914058E0
5.339595860E-1,3.263810158E0,2.231307179E-1,7.074978352E0,7.794713769E0
5.364889610E-1,3.278167009E0,2.039881349E-1,7.175477028E0,7.891480259E0
5.390339610E-1,3.321237803E0,1.609173268E-1,7.285546780E0,8.008477184E0
5.415789610E-1,3.335594654E0,1.561316848E-1,7.352545738E0,8.075301705E0
5.441239610E-1,3.373879910E0,1.657029688E-1,7.409973621E0,8.143600689E0
5.466689610E-1,3.431307554E0,1.513460279E-1,7.500900745E0,8.249866008E0
5.492139610E-1,3.493520975E0,1.513460279E-1,7.496115208E0,8.271598251E0
5.517589610E-1,3.488735437E0,1.465603858E-1,7.543971539E0,8.312897297E0
5.543039610E-1,3.550948858E0,1.657029688E-1,7.639684677E0,8.426237430E0
5.568489610E-1,3.555734396E0,1.513460279E-1,7.634898663E0,8.423647090E0
5.593939610E-1,3.579662561E0,1.226321608E-1,7.658827305E0,8.454978320E0
5.619389610E-1,3.550948858E0,1.226321608E-1,7.615756035E0,8.403809637E0
5.644839610E-1,3.594019651E0,9.870393574E-2,7.558328629E0,8.369889568E0
5.670289610E-1,3.661616802E0,9.870393574E-2,7.567899704E0,8.407751543E0
5.695739610E-1,3.637090445E0,1.369891018E-1,7.515257835E0,8.350227138E0
5.721189610E-1,3.723830223E0,1.561316848E-1,7.448258877E0,8.328736334E0
5.746639610E-1,3.805186272E0,1.609173268E-1,7.362117290E0,8.288914763E0
5.772089610E-1,3.891327858E0,2.087737769E-1,7.357331276E0,8.325643668E0
5.797539610E-1,3.953541279E0,2.039881349E-1,7.319046497E0,8.321090159E0
5.822989610E-1,3.987040758E0,2.715853751E-1,7.266404152E0,8.292821108E0
5.848439610E-1,4.025325775E0,2.715853751E-1,7.237690449E0,8.286203548E0
5.873889610E-1,4.049253941E0,2.907279432E-1,7.180262566E0,8.248463537E0
5.899339610E-1,4.068396568E0,2.231307179E-1,7.165905476E0,8.243290559E0
5.924789610E-1,4.044468403E0,2.183450609E-1,7.127620220E0,8.198071068E0
5.950239610E-1,4.020540237E0,1.752742529E-1,7.041478634E0,8.110356726E0
5.975689610E-1,3.948755503E0,1.657029688E-1,7.118049145E0,8.141667588E0
6.001139610E-1,3.881756544E0,8.434699476E-2,7.194619656E0,8.175432727E0
6.026589610E-1,3.881756544E0,4.127619043E-2,7.280761242E0,8.251013383E0
6.052039610E-1,3.833899975E0,3.649054468E-2,7.424330235E0,8.355884155E0
6.077489610E-1,3.829114437E0,-1.136590727E-2,7.505686283E0,8.426005764E0
6.102939610E-1,3.809971809E0,-1.070788130E-1,7.673183918E0,8.567677778E0
6.128389610E-1,3.752544165E0,-1.070788130E-1,7.860422611E0,8.710872356E0
6.153839610E-1,3.766901016E0,-1.645065546E-1,8.080561638E0,8.916954752E0
6.179289610E-1,3.714258909E0,-2.458625287E-1,8.295916557E0,9.092766309E0
6.204739610E-1,3.699902058E0,-2.889333367E-1,8.463413239E0,9.241326818E0
6.230189610E-1,3.709473372E0,-3.367897868E-1,8.664410591E0,9.431099138E0
6.255639610E-1,3.656831264E0,-3.894318938E-1,8.894720078E0,9.624973629E0
6.281089610E-1,3.632304668E0,-4.325026870E-1,9.000003815E0,9.714976297E0
6.306539610E-1,3.613162279E0,-5.186443329E-1,9.167501450E0,9.867472646E0
6.331989610E-1,3.560520172E0,-5.904290080E-1,9.334999084E0,1.000840238E1
6.357439610E-1,3.584448338E0,-7.004988194E-1,9.478569031E0,1.015786589E1
6.382889610E-1,3.555734396E0,-7.052844763E-1,9.636494637E0,1.029576137E1
6.408339610E-1,3.584448338E0,-8.159525394E-1,9.813564301E0,1.047950823E1
6.433789610E-1,3.627519131E0,-8.877372146E-1,1.001037312E1,1.068431291E1
6.459239610E-1,3.627519131E0,-9.355936646E-1,1.010608673E1,1.077808979E1
6.484689610E-1,3.647259951E0,-1.007378340E0,1.014915752E1,1.083156105E1
6.510139610E-1,3.675973892E0,-1.074377418E0,1.025922680E1,1.095074451E1
6.535589610E-1,3.695116282E0,-1.117448211E0,1.038843918E1,1.108251972E1
6.561004710E-1,3.709473372E0,-1.194018483E0,1.047936630E1,1.118047365E1
6.586343260E-1,3.738187075E0,-1.227517962E0,1.047936630E1,1.119365718E1
6.611793260E-1,3.752544165E0,-1.246660590E0,1.047458076E1,1.119609720E1
6.637243260E-1,3.742972851E0,-1.275374413E0,1.048415279E1,1.120508302E1
6.662693260E-1,3.752544165E0,-1.318445325E0,1.046500969E1,1.119537019E1
6.688149510E-1,3.757329702E0,-1.337587833E0,1.043629551E1,1.117241834E1
6.713498460E-1,3.719044685E0,-1.304088354E0,1.036929703E1,1.109298250E1
6.738847420E-1,3.714258909E0,-1.337587833E0,1.022572803E1,1.096131262E1
6.764195860E-1,3.742972851E0,-1.342373490E0,1.016829967E1,1.091815601E1
6.789544820E-1,3.752544165E0,-1.328016520E0,1.001994514E1,1.078167502E1
6.814994820E-1,3.747758389E0,-1.294517040E0,9.919445992E0,1.068255007E1
6.840444820E-1,3.762115479E0,-1.265803218E0,9.780064583E0,1.055487726E1
6.865894820E-1,3.848257065E0,-1.261017561E0,9.713065147E0,1.052344441E1
6.891303150E-1,3.920041800E0,-1.237089276E0,9.598209381E0,1.044139554E1
6.916660440E-1,3.977469444E0,-1.208375454E0,9.483354568E0,1.035444099E1
6.942017740E-1,4.073182583E0,-1.160519004E0,9.382855415E0,1.029444493E1
6.967375030E-1,4.154538155E0,-1.127019525E0,9.253643036E0,1.020589387E1
6.992732320E-1,4.245465755E0,-1.093519926E0,9.134002686E0,1.013162230E1
7.018182320E-1,4.365106583E0,-1.031306505E0,9.119645119E0,1.016295605E1
7.043632320E-1,4.494318962E0,-9.786644578E-1,9.076574326E0,1.017550434E1
7.069087530E-1,4.633102894E0,-9.930213690E-1,9.043074608E0,1.020925718E1
7.094451590E-1,4.734199524E0,-9.547362328E-1,9.023932457E0,1.023501458E1
7.119815650E-1,4.877768993E0,-9.834501147E-1,8.980861664E0,1.026721387E1
7.145179710E-1,4.983053207E0,-9.595218897E-1,9.019146919E0,1.034874450E1
7.170543780E-1,5.112265587E0,-9.738788009E-1,9.100502968E0,1.048345619E1
7.195907840E-1,5.188836098E0,-9.930213690E-1,9.177073479E0,1.058908821E1
7.221357840E-1,5.260620594E0,-1.007378340E0,9.268000603E0,1.070442784E1
7.246857840E-1,5.332405090E0,-9.834501147E-1,9.373284340E0,1.082867386E1
7.272227110E-1,5.370690346E0,-9.930213690E-1,9.382855415E0,1.085672059E1
7.297596900E-1,5.413761139E0,-1.002592683E0,9.430712700E0,1.092027215E1
7.322966170E-1,5.428118229E0,-9.355936646E-1,9.478569031E0,1.096280411E1
7.348335960E-1,5.471189022E0,-9.451649189E-1,9.464211464E0,1.097262706E1
7.373704710E-1,5.452046394E0,-9.308080077E-1,9.440283775E0,1.094121434E1
7.399074510E-1,5.509474277E0,-9.451649189E-1,9.363713264E0,1.090535509E1
7.424524510E-1,5.528616905E0,-9.930213690E-1,9.334999084E0,1.089467320E1
7.449990650E-1,5.576473236E0,-1.045663476E0,9.268000603E0,1.086675209E1
7.475364610E-1,5.619544029E0,-1.098305583E0,9.215357780E0,1.084934879E1
7.500738570E-1,5.648257732E0,-1.150947690E0,9.153144836E0,1.081700312E1
7.526112530E-1,5.696114540E0,-1.203589797E0,9.076574326E0,1.078325325E1
7.551485960E-1,5.749354839E0,-1.284945726E0,9.033503532E0,1.078472775E1
7.576859920E-1,5.806782246E0,-1.294517040E0,8.990432739E0,1.078064818E1
7.602233880E-1,5.854638577E0,-1.304088354E0,8.937790871E0,1.076390008E1
7.627683880E-1,5.902495384E0,-1.385444283E0,8.961718559E0,1.081994950E1
7.653122940E-1,5.902495384E0,-1.361516118E0,8.947361946E0,1.080502030E1
7.678500550E-1,5.931209087E0,-1.399801254E0,8.961718559E0,1.083748515E1
7.703877630E-1,5.964708805E0,-1.390229940E0,8.952147484E0,1.084672462E1
7.729254710E-1,5.969494343E0,-1.380658627E0,8.956933022E0,1.085208414E1
7.754632320E-1,6.007779598E0,-1.390229940E0,8.961718559E0,1.087835256E1
7.780009400E-1,5.974279881E0,-1.409372568E0,9.028717995E0,1.091769663E1
7.805386490E-1,5.950351715E0,-1.380658627E0,9.052646637E0,1.092077446E1
7.830874510E-1,5.931209087E0,-1.380658627E0,9.124430656E0,1.096999062E1
7.856254710E-1,5.892923832E0,-1.371087432E0,9.205786705E0,1.101603109E1
7.881634400E-1,5.835496426E0,-1.423729420E0,9.268000603E0,1.104426816E1
7.907014610E-1,5.734997749E0,-1.462014675E0,9.358927727E0,1.107326575E1
7.932394820E-1,5.676971912E0,-1.485942841E0,9.397212982E0,1.107897324E1
7.957774510E-1,5.586044312E0,-1.567298889E0,9.459425926E0,1.109689397E1
7.983154710E-1,5.471189022E0,-1.605584025E0,9.588638306E0,1.115588607E1
8.008534400E-1,5.404190063E0,-1.648654819E0,9.622138023E0,1.115835441E1
8.034003150E-1,5.270191669E0,-1.715653777E0,9.674779892E0,1.114987686E1
8.059385440E-1,5.145765305E0,-1.801795483E0,9.770493507E0,1.118874036E1
8.084767740E-1,5.102694511E0,-1.874178290E0,9.847063065E0,1.124787476E1
8.110150030E-1,4.973481655E0,-1.936391711E0,9.924231529E0,1.126834079E1
8.135532320E-1,4.868197441E0,-1.993819475E0,9.952945709E0,1.125769918E1
8.160914610E-1,4.767699242E0,-2.070389748E0,1.002473068E1,1.129215192E1
8.186296900E-1,4.695914268E0,-2.180459738E0,1.008215809E1,1.133383991E1
8.211679190E-1,4.585246563E0,-2.247458696E0,1.013958549E1,1.135283007E1
8.237132320E-1,4.494318962E0,-2.314457655E0,1.024487019E1,1.142422786E1
8.262516170E-1,4.508676052E0,-2.381456852E0,1.031665516E1,1.150794813E1
8.287900550E-1,4.417748928E0,-2.453241348E0,1.032622623E1,1.149634059E1
8.313284400E-1,4.379463673E0,-2.501097918E0,1.036451149E1,1.152641710E1
8.338668260E-1,4.355535507E0,-2.548954248E0,1.039801121E1,1.155796238E1
8.364052630E-1,4.379463673E0,-2.582453728E0,1.039322472E1,1.157012918E1
8.389436490E-1,4.350749969E0,-2.615953445E0,1.042193890E1,1.159262904E1
8.414820860E-1,4.389034748E0,-2.682952404E0,1.037886810E1,1.158372836E1
8.440260960E-1,4.446462631E0,-2.726023197E0,1.036451149E1,1.160281564E1
8.465646380E-1,4.417748928E0,-2.764308453E0,1.028315544E1,1.152827796E1
8.491032320E-1,4.369892120E0,-2.840878725E0,1.018744278E1,1.144336224E1
8.516417210E-1,4.322035789E0,-2.898904562E0,1.008694363E1,1.135033360E1
8.541803150E-1,4.264608383E0,-2.970689297E0,1.006301594E1,1.132590700E1
8.567188570E-1,4.173680782E0,-3.008974552E0,1.000558758E1,1.125101426E1
8.592573990E-1,4.130609989E0,-3.142972469E0,9.914660454E0,1.119109944E1
8.617959400E-1,4.030111313E0,-3.186043262E0,9.851848602E0,1.111087709E1
